Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2023-02-01 13:04:55,"Push",1h 20m,"Chest Press (Machine)",1,25.0,8,0,0,"","",
2023-02-01 13:04:55,"Push",1h 20m,"Chest Press (Machine)",2,25.0,8,0,0,,,
2023-02-01 13:04:55,"Push",1h 20m,"Chest Press (Machine)",3,25.0,8,0,0,,,
2023-02-01 13:04:55,"Push",1h 20m,"Chest Press (Machine)",4,25.0,6,0,0,,,
2023-02-01 13:04:55,"Push",1h 20m,"Lateral Raise (Dumbbell)",1,6.0,8,0,0,"",,
2023-02-01 13:04:55,"Push",1h 20m,"Chest Fly",1,45.0,8,0,0,"",,
2023-02-01 13:04:55,"Push",1h 20m,"Chest Fly",2,45.0,8,0,0,,,
2023-02-01 13:04:55,"Push",1h 20m,"Chest Fly",3,45.0,8,0,0,,,
2023-02-01 13:04:55,"Push",1h 20m,"Chest Fly",4,45.0,8,0,0,,,
2023-02-01 13:04:55,"Push",1h 20m,"Chest Fly",5,45.0,8,0,0,,,
2023-02-01 13:04:55,"Push",1h 20m,"Bench Press (Dumbbell)",1,17.5,8,0,0,"",,
2023-02-01 13:04:55,"Push",1h 20m,"Bench Press (Dumbbell)",2,17.5,8,0,0,,,
2023-02-01 13:04:55,"Push",1h 20m,"Bench Press (Dumbbell)",3,17.5,8,0,0,,,
2023-02-01 13:04:55,"Push",1h 20m,"Bench Press (Dumbbell)",4,17.5,8,0,0,,,
2023-02-01 13:04:55,"Push",1h 20m,"Triceps Extension",1,15.0,8,0,0,"",,
2023-02-01 13:04:55,"Push",1h 20m,"Triceps Extension",2,15.0,8,0,0,,,
2023-02-01 13:04:55,"Push",1h 20m,"Triceps Extension",3,15.0,8,0,0,,,
2023-02-01 13:04:55,"Push",1h 20m,"Triceps Extension",4,15.0,8,0,0,,,
2023-02-01 13:04:55,"Push",1h 20m,"Cable One Arm Push",1,5.0,12,0,0,"",,
